index,V1,V2,locality1,locality2,lat1,long1,lat2,long2,FST_lin,CSE,Residuals
1,1,2,"Maricopa County, AZ, USA","Tucson, AZ, USA",33.2918,-112.4291,32.2226,-110.9747,0.0439,0.214461766,NA
2,1,3,"Maricopa County, AZ, USA","Nogales, NM, USA",33.2918,-112.4291,31.3012,-110.9381,0.0544,0.244620951,NA
3,1,4,"Maricopa County, AZ, USA","Hermosillo, SON, MEX",33.2918,-112.4291,29.07296,-110.95591,0.0451,0.272686096,NA
4,1,5,"Maricopa County, AZ, USA","Deming, NM, USA",33.2918,-112.4291,32.2593,-107.7401,0.0652,0.292508415,NA
5,1,6,"Maricopa County, AZ, USA","Las Cruces, NM, USA",33.2918,-112.4291,32.345676,-106.766072,0.0897,0.312575245,NA
6,1,7,"Maricopa County, AZ, USA","Truth of Consequences, NM, USA",33.2918,-112.4291,33.137,-107.2526,0.0979,0.368524498,NA
7,1,8,"Maricopa County, AZ, USA","Socorro, NM, USA",33.2918,-112.4291,34.0578,-106.8976,0.1299,0.385387133,NA
8,1,9,"Maricopa County, AZ, USA","Albuquerque, NM, USA",33.2918,-112.4291,35.0788,-106.6627,0.1203,0.388674622,NA
9,1,10,"Maricopa County, AZ, USA","Alamagordo, NM, USA",33.2918,-112.4291,32.8909,-105.9484,0.1126,0.330089811,NA
10,1,11,"Maricopa County, AZ, USA","Sunland Park, NM, USA",33.2918,-112.4291,31.8073,-106.587,0.0809,0.291465179,NA
11,1,12,"Maricopa County, AZ, USA","Roswell, NM, USA",33.2918,-112.4291,33.4009,-104.5294,0.0847,0.288055058,NA
12,1,13,"Maricopa County, AZ, USA","Carlsbad, NM, USA",33.2918,-112.4291,32.427,-104.243,0.0685,0.341319687,NA
13,1,14,"Maricopa County, AZ, USA","Lovington, NM, USA",33.2918,-112.4291,32.9476,-103.3504,0.0545,0.303511697,NA
14,1,15,"Maricopa County, AZ, USA","Lubbock, TX, USA",33.2918,-112.4291,33.5699,-101.8727,0.083,0.330999089,NA
15,1,16,"Maricopa County, AZ, USA","Dallas, TX, USA",33.2918,-112.4291,32.754256,-96.796889,0.0878,0.299611579,NA
16,1,17,"Maricopa County, AZ, USA","Ellis, TX, USA",33.2918,-112.4291,32.3782,-96.793,0.1084,0.332154736,NA
17,1,18,"Maricopa County, AZ, USA","Cameron, TX, USA",33.2918,-112.4291,26.125309,-97.539184,0.1437,0.356434097,NA
18,1,19,"Maricopa County, AZ, USA","Travis, TX, USA",33.2918,-112.4291,30.2526,-97.778,0.0864,0.301141928,NA
19,1,20,"Maricopa County, AZ, USA","Bexar, TX, USA",33.2918,-112.4291,29.4112,-98.4954,0.0876,0.343884944,NA
20,1,21,"Maricopa County, AZ, USA","Houston, TX, USA",33.2918,-112.4291,29.7628,-95.3831,0.0821,0.343429798,NA
21,1,22,"Maricopa County, AZ, USA","Nueces, TX, USA",33.2918,-112.4291,27.7439,-97.672,0.056,0.283204906,NA
22,1,23,"Maricopa County, AZ, USA","Hidalgo, TX, USA",33.2918,-112.4291,26.3651,-98.1638,0.0788,0.292974708,NA
23,1,24,"Maricopa County, AZ, USA","Juarez, CHIH, MEX",33.2918,-112.4291,31.683,-106.4249,0.0624,0.272322726,NA
24,1,25,"Maricopa County, AZ, USA","Nuevo Leon, NL, MEX",33.2918,-112.4291,25.6803,-100.3133,0.1363,0.394219501,NA
